gene_id	R1_1	R2_1	R3_1	R4_1	R6_1	RG1_1	RG3_1	RG4_1	RG5_1	RG6_1	RY1_1	RY3_1	RY4_1	RY5_1	RY6_1	R1_2	R2_2	R4_2	R6_2	RG1_2	RG2_2	RG3_2	RG4_2	RG6_2	RY1_2	RY2_2	RY3_2	RY5_2	RY7_2	R1_3	R2_3	R3_3	R5_3	R6_3	R7_3	RG1_3	RG2_3	RG3_3	RG4_3	RG6_3	RY3_3	RY4_3	RY5_3	RY6_3	RY7_3	B2_1	B3_1	B4_1	B5_1	B6_1	BG1_1	BG2_1	BG3_1	BG4_1	BG5_1	BY1_1	BY2_1	BY3_1	BY4_1	BY5_1	B1_2	B2_2	B3_2	B4_2	B5_2	BG1_2	BG2_2	BG3_2	BG4_2	BG5_2	BY1_2	BY2_2	BY4_2	BY5_2	B1_3	B2_3	B3_3	B4_3	B5_3	BG1_3	BG2_3	BG3_3	BG5_3	BG6_3	BY1_3	BY2_3	BY3_3	BY4_3	BY5_3	BY6_3
patho_DN103581_c0_g2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.00	5.00	22.00	20.00	5.00	6.00	21.00	10.00	3.00	16.00	6.00	8.00	18.00	0.00	71.00	87.00	8.00	70.00	3.00	67.00	70.00	26.00	95.00	16.00	25.00	82.00	62.00	57.00	44.00	37.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	2.00	0.00	0.00	7.00	3.00	0.00	0.00	3.00	1.00	12.00	4.00	0.00	3.00	22.00	17.00	25.00	3.00	15.00	8.00	15.00	241.07	3.00	85.00	51.00	27.00	2.00	10.00	60.00	117.00
patho_DN103586_c0_g2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.00	21.00	109.00	41.00	5.00	15.00	171.00	44.00	22.00	20.00	26.00	14.00	53.00	6.00	317.00	299.98	45.00	364.00	19.00	245.00	135.00	74.00	451.96	126.00	87.00	289.00	360.00	176.00	57.00	172.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.00	6.00	0.00	0.00	30.00	8.00	0.00	1.00	34.00	22.00	59.00	32.00	0.00	10.00	70.00	79.00	136.00	41.00	109.00	169.00	46.00	1748.73	22.00	469.16	283.00	127.00	4.00	47.00	208.00	426.00
patho_DN103587_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	47.00	119.00	54.00	42.00	72.00	104.00	73.00	53.00	48.00	117.00	109.00	68.00	245.00	67.00	4.00	0.00	117.00	21.00	0.00	16.00	2.00	2.00	2.00	3.00	22.00	2.00	0.00	2.00	4.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	145.00	42.00	20.00	50.00	71.00	248.00	99.00	151.00	63.00	40.00	146.00	603.00	127.00	395.00	15.00	8.00	9.00	3.00	21.00	15.00	8.00	45.00	18.00	162.00	6.00	1.00	417.00	2.00	10.00	18.00
patho_DN103591_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.00	27.00	15.00	12.00	10.00	34.00	18.00	13.65	9.00	15.00	19.00	24.00	6.00	18.00	11.00	18.00	30.00	21.00	0.00	23.00	20.00	22.00	19.00	29.00	3.00	7.00	38.00	51.00	76.00	51.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.00	13.00	15.00	32.00	21.00	26.00	28.00	29.00	13.00	6.00	41.00	39.00	128.00	64.00	13.00	11.00	24.00	8.00	33.00	11.00	19.00	34.00	0.00	148.09	37.00	9.00	20.50	8.00	21.00	37.00
patho_DN103629_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	2.00	25.00	12.00	3.00	3.00	33.00	9.00	4.00	13.00	5.00	3.00	8.00	1.00	91.00	102.00	12.00	57.00	4.00	71.00	63.00	25.00	76.00	23.00	12.00	71.00	74.00	57.00	43.00	49.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.00	0.00	0.00	1.00	10.00	0.00	3.00	1.00	11.00	3.00	14.00	9.00	0.00	4.00	26.00	31.00	27.00	10.00	19.00	36.00	16.00	268.00	5.00	86.00	67.00	31.00	2.00	13.00	86.00	152.00
patho_DN103636_c0_g2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.00	12.00	66.00	54.00	5.00	11.00	81.00	58.00	22.00	27.00	13.00	15.00	39.00	3.00	142.00	162.00	40.00	153.18	6.00	134.00	94.00	31.00	159.00	58.00	42.00	126.00	146.00	61.90	105.00	78.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.00	3.00	0.00	1.00	23.00	22.00	1.00	2.00	17.00	8.00	39.00	12.00	0.00	9.00	42.51	50.00	62.00	24.00	48.00	65.00	29.00	527.00	14.00	226.00	116.00	68.00	7.00	22.00	110.00	196.00
patho_DN103654_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	8.00	21.00	5.00	3.00	1.00	32.00	12.00	12.00	9.00	3.00	2.00	11.00	0.00	207.00	129.00	8.00	47.00	0.00	93.00	44.00	42.00	60.00	22.00	27.00	54.00	59.00	88.00	67.00	55.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.00	0.00	3.00	5.00	1.00	0.00	5.00	4.00	10.00	2.00	0.00	2.00	35.00	10.00	18.00	9.00	15.00	26.00	7.00	235.00	3.00	78.00	28.00	36.04	3.00	22.00	142.00	182.00
patho_DN103710_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.00	13.00	74.00	22.00	6.00	14.00	96.00	26.00	19.00	19.00	7.00	12.00	18.59	3.00	145.00	115.01	34.00	150.00	6.00	107.89	79.00	44.00	154.00	33.00	25.00	107.00	190.00	35.00	50.00	46.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	2.00	2.00	0.00	20.00	12.00	0.00	0.00	14.00	4.00	38.00	18.00	0.00	9.00	31.00	41.00	60.00	22.00	34.00	73.00	16.00	940.00	5.00	232.00	90.00	32.00	6.00	16.00	89.00	196.00
patho_DN103720_c1_g5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.00	45.98	122.00	54.00	14.00	24.00	187.00	56.00	27.00	29.00	16.00	11.28	48.00	4.00	272.00	325.99	69.58	260.11	10.00	299.00	148.00	71.00	378.40	77.78	61.00	182.00	284.00	139.00	128.75	131.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.00	3.00	1.00	1.00	30.00	31.00	0.00	2.00	25.00	16.00	61.00	22.00	0.00	12.00	81.07	87.00	150.01	25.00	79.00	129.77	57.00	1731.96	16.00	539.00	199.00	101.00	10.00	43.00	247.00	434.00
patho_DN103759_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	4.00	16.00	22.00	2.00	1.00	18.00	8.00	8.00	4.00	2.00	2.00	8.00	0.00	158.00	136.94	4.00	83.00	8.00	117.00	81.00	64.00	60.00	31.00	15.00	82.00	41.00	85.00	62.00	47.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	3.00	0.00	0.00	8.00	2.00	0.00	0.00	3.00	5.00	9.00	2.00	0.00	4.00	47.00	25.00	41.00	5.00	17.00	29.00	11.00	247.00	4.00	152.00	57.00	43.00	0.00	15.00	109.00	213.00
patho_DN103780_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	17.00	63.00	36.00	8.00	12.00	80.00	51.00	15.00	23.00	12.00	17.00	31.00	1.00	200.00	177.00	19.00	139.00	2.00	179.00	98.00	51.00	174.00	67.00	47.00	102.00	206.99	76.00	87.00	97.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.00	0.00	0.00	0.00	15.00	1.00	0.00	5.00	20.00	11.00	47.00	9.00	0.00	14.00	34.00	39.00	57.00	16.00	46.00	58.00	27.00	675.00	10.00	180.00	113.00	56.00	7.00	25.00	120.00	192.00
patho_DN103786_c0_g2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.00	75.00	119.00	61.00	69.00	63.00	201.00	89.00	44.00	66.00	42.95	34.00	114.00	3.00	245.00	262.00	98.00	329.00	7.00	234.00	169.00	76.00	360.00	127.00	59.00	170.00	321.00	144.00	85.00	120.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	66.00	14.00	0.00	1.00	74.00	45.00	6.00	24.00	99.00	44.00	155.78	112.00	0.00	69.00	47.00	80.00	111.00	51.00	102.00	172.11	73.00	1352.00	41.00	558.00	227.00	106.00	24.00	47.00	224.00	386.00
patho_DN103802_c1_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.00	12.00	91.00	85.00	6.00	6.00	62.00	23.00	12.00	27.00	11.00	16.00	29.00	2.00	338.00	269.00	28.00	199.00	4.00	303.00	139.00	92.00	274.00	88.00	55.00	189.00	173.40	142.00	119.00	162.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.00	5.00	0.00	0.00	20.00	6.00	0.00	0.00	7.00	9.00	30.00	11.00	0.00	4.00	97.00	80.00	97.00	30.00	53.00	67.00	27.00	678.00	17.00	247.00	164.00	93.00	4.00	62.00	220.00	412.00
patho_DN103809_c0_g2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.00	5.00	46.00	77.00	0.00	1.00	4.00	14.00	10.00	21.00	2.00	20.00	14.00	8.00	166.00	307.00	7.00	235.01	5.00	195.00	146.00	126.80	351.00	116.00	146.00	343.99	97.00	220.00	274.00	202.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.00	2.00	0.00	1.00	11.00	0.00	0.00	0.00	0.00	1.00	2.00	2.00	1.00	13.00	101.00	70.00	69.00	29.00	43.00	32.00	22.00	353.02	17.00	142.00	152.99	120.00	2.00	96.00	179.00	324.00
patho_DN103854_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.00	12.00	65.00	69.00	5.00	9.00	83.00	33.00	20.00	29.00	13.00	20.00	20.00	11.00	262.74	312.00	26.00	239.99	8.00	262.00	146.00	77.00	451.75	123.00	73.00	243.00	244.00	109.00	118.00	134.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.00	3.00	1.00	0.00	28.00	4.00	0.00	1.00	10.00	8.00	23.00	12.00	0.00	6.00	77.00	89.00	132.00	26.00	76.00	104.00	38.00	1552.91	18.00	475.98	197.00	117.00	5.00	52.00	246.00	534.00
patho_DN103974_c1_g3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.00	28.00	64.00	41.00	22.00	10.00	62.00	15.00	12.00	28.01	18.00	15.00	48.00	7.00	186.00	118.00	26.00	201.12	7.00	149.00	87.00	69.00	136.00	66.00	41.00	123.00	126.00	98.00	96.00	107.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	3.33	0.00	0.00	30.00	7.00	3.00	5.00	22.00	6.00	34.00	20.00	0.00	19.00	44.00	49.55	63.00	21.63	63.00	73.94	34.00	683.08	21.00	238.83	104.00	68.00	11.00	27.00	150.00	184.01
patho_DN104014_c0_g2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.00	10.00	4.00	3.00	7.00	18.00	1.00	10.00	5.00	6.00	3.00	11.00	3.00	5.00	2.00	12.00	11.00	23.00	4.00	4.00	17.00	11.00	6.00	9.00	9.00	4.00	31.00	49.00	31.00	26.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17.00	8.00	19.00	25.00	25.00	21.00	7.00	8.00	7.00	3.00	25.00	26.00	91.00	28.00	9.00	13.00	12.00	8.00	23.00	7.00	5.00	27.00	4.00	82.00	18.00	9.00	11.00	9.00	10.00	23.00
patho_DN104083_c0_g2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	10.00	37.00	37.00	5.00	6.00	63.00	18.00	14.00	13.00	2.00	9.00	19.00	2.00	126.38	99.00	23.00	96.00	2.00	79.23	56.00	47.83	135.69	38.00	21.00	68.00	123.00	73.38	28.00	44.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	2.00	0.00	0.00	15.00	0.00	0.00	0.00	8.00	9.00	26.00	9.00	0.00	7.00	36.00	16.00	73.00	14.00	27.00	64.00	16.00	788.98	8.00	180.66	97.00	41.00	3.00	20.00	110.01	222.68
patho_DN104119_c0_g3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	7.00	39.00	17.00	7.00	14.00	43.00	36.00	10.00	18.00	3.00	9.00	26.00	1.00	55.00	62.00	12.00	23.00	1.00	49.00	24.00	22.00	39.00	22.00	14.00	27.00	52.00	21.00	52.00	24.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	3.00	0.00	0.00	11.00	3.00	0.00	1.00	18.00	0.00	24.00	10.00	0.00	2.00	13.00	10.00	28.00	3.00	11.00	26.00	8.00	217.00	8.00	89.00	47.00	21.00	1.00	8.00	69.00	66.00
patho_DN104122_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.00	12.00	12.00	2.00	0.00	16.00	2.00	3.00	2.00	0.00	2.00	5.00	0.00	170.00	122.00	7.00	82.00	0.00	99.00	44.94	36.00	68.00	18.00	30.00	58.00	66.00	44.00	41.00	36.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	1.00	0.00	0.00	4.00	0.00	1.00	0.00	6.00	2.00	5.00	2.00	0.00	0.00	23.00	12.00	25.00	4.00	20.00	16.00	6.00	164.00	6.00	69.00	41.00	27.00	2.00	20.00	96.05	174.20
patho_DN104137_c0_g1	26.00	16.00	32.00	28.00	10.00	32.00	19.00	42.00	22.00	12.00	22.00	36.00	19.00	21.00	34.00	12.00	1.00	33.00	29.34	34.00	33.00	34.00	25.00	28.00	13.00	23.00	24.00	27.00	28.00	96.00	17.00	4.00	56.00	2.00	46.00	23.00	30.00	38.00	20.00	14.00	17.00	19.00	4.00	16.00	21.00	11.00	6.00	14.00	9.00	8.00	9.00	10.00	8.00	9.00	11.42	15.08	11.00	57.99	14.00	4.00	1.00	7.00	5.00	10.00	4.99	0.00	5.00	1.00	12.00	19.00	4.00	5.00	11.00	28.00	5.00	17.00	6.00	17.58	4.00	4.00	9.00	14.00	3.00	22.00	7.00	10.00	14.00	20.00	7.00	6.00
patho_DN104145_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.00	3.00	31.00	29.00	4.00	3.00	24.00	14.00	5.00	5.00	13.00	7.00	14.00	1.00	86.00	91.00	12.00	149.00	2.00	85.00	60.00	19.00	178.00	48.00	31.00	107.00	86.00	25.00	56.00	62.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.00	5.00	1.00	0.00	17.00	2.00	0.00	0.00	2.00	1.00	10.00	6.00	2.00	2.00	15.00	30.00	65.00	7.00	42.00	30.00	7.00	615.01	7.00	99.00	105.00	30.00	3.00	14.00	56.00	118.00
patho_DN104164_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.00	79.00	34.00	45.00	80.00	34.00	51.00	43.00	22.00	68.00	28.00	40.00	169.00	2.00	11.00	84.00	79.00	237.00	3.00	33.00	54.00	68.00	33.00	56.00	51.00	44.00	94.00	46.00	188.98	61.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	45.00	15.00	1.00	0.00	47.00	57.00	11.00	24.00	88.00	34.00	84.00	63.00	1.00	89.00	23.00	48.00	61.00	55.00	29.00	78.00	93.00	103.00	34.00	180.00	113.00	20.00	27.00	23.00	26.00	58.00
patho_DN104205_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.00	12.00	78.00	56.00	2.00	8.00	46.00	20.00	19.00	18.00	7.00	15.00	27.00	5.00	143.00	189.00	22.00	248.00	10.00	158.00	87.00	38.00	278.00	60.00	47.00	135.00	135.00	90.00	89.00	91.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	2.00	0.00	1.00	22.00	10.00	0.00	0.00	4.00	7.00	22.00	8.00	0.00	3.00	32.00	53.00	80.00	11.00	60.00	51.00	29.00	613.00	11.00	179.00	148.00	71.00	5.00	52.00	98.00	220.00
patho_DN104211_c0_g2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	45.00	112.00	121.16	31.00	24.00	147.00	86.00	37.99	59.00	11.00	31.00	67.00	1.00	140.85	323.00	55.00	234.10	11.00	216.99	132.00	80.00	114.00	62.00	56.00	152.00	209.00	59.00	156.04	105.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31.00	6.00	3.00	0.00	43.00	22.00	1.00	7.00	39.00	27.00	55.00	27.00	1.00	27.00	63.00	117.00	134.00	25.00	46.00	137.00	46.00	969.00	22.00	261.15	125.98	60.00	6.00	41.00	129.00	204.00
patho_DN104211_c0_g4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	115.00	316.00	998.00	517.01	115.00	172.00	1510.00	398.00	212.01	311.00	177.00	159.00	451.00	28.00	1928.00	2684.00	578.00	2454.08	87.00	2425.14	1224.00	591.00	2366.00	783.00	428.00	1829.00	2243.01	951.00	925.00	1157.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	162.00	49.00	9.00	11.00	305.07	160.00	7.00	6.00	271.00	113.00	678.02	334.00	2.00	108.00	496.00	731.00	1113.00	333.00	726.00	1117.00	415.00	14450.89	212.00	3756.77	2012.02	738.19	71.00	378.00	1796.00	2808.31
patho_DN104215_c0_g3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	4.00	19.00	5.00	3.00	4.00	17.00	11.00	3.00	5.00	2.00	6.00	4.00	0.00	20.00	16.00	7.00	16.00	0.00	20.00	4.00	6.00	45.00	2.00	4.00	17.00	39.00	9.00	9.00	17.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	5.00	2.00	4.00	3.00	0.00	1.00	6.00	4.00	12.00	3.00	2.00	10.00	3.00	136.00	0.00	26.00	29.00	7.00	0.00	3.00	23.00	58.00
patho_DN104223_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.00	6.00	87.00	66.00	1.00	2.00	33.00	41.00	24.00	31.00	12.00	22.00	27.00	9.00	145.00	215.00	10.00	291.00	7.00	174.00	86.00	41.00	331.00	71.00	55.00	141.00	151.00	65.00	126.00	138.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.00	8.00	0.00	2.00	28.00	2.00	1.00	0.00	4.00	9.00	18.00	5.00	1.00	16.00	36.00	81.01	98.00	38.00	65.00	52.00	24.00	417.00	10.00	143.00	172.00	116.00	4.00	45.00	107.00	164.00
patho_DN104251_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	19.00	13.00	72.00	56.00	10.00	12.00	75.00	24.00	26.00	52.00	18.00	23.00	50.00	4.00	231.00	217.97	32.00	194.00	5.00	258.00	116.00	46.00	173.00	71.00	63.43	184.49	197.00	109.26	95.00	155.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	19.00	1.00	3.00	1.00	24.00	20.00	2.00	1.00	19.99	11.00	37.24	18.28	1.00	30.00	54.00	54.00	66.00	23.00	65.02	110.00	43.00	715.00	30.00	209.40	139.00	89.00	12.00	42.00	164.00	256.06
patho_DN104281_c0_g3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	18.00	38.00	22.00	9.00	4.00	44.00	10.00	14.00	15.00	4.00	10.00	32.00	1.07	103.00	134.99	16.00	90.00	6.00	112.91	54.00	23.00	87.00	22.00	30.00	94.00	101.82	44.00	49.00	56.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.00	1.00	1.00	1.85	20.00	10.00	2.00	2.00	15.00	0.00	14.00	9.00	0.00	11.00	31.00	15.00	38.00	19.00	33.97	59.00	26.80	375.97	10.00	117.00	73.00	35.00	7.00	21.00	80.00	166.00
patho_DN104366_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24.00	20.00	24.00	53.00	22.00	40.00	41.00	114.00	50.00	63.00	17.00	35.00	72.00	21.00	14.00	28.00	34.00	46.00	0.00	17.00	19.00	20.00	7.00	13.00	5.00	10.00	18.00	11.00	80.98	32.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.00	6.00	1.00	0.00	28.00	45.00	11.00	38.00	46.00	26.00	38.00	10.00	10.00	139.00	4.00	16.00	7.00	8.00	4.00	11.00	10.00	17.00	8.00	54.00	11.00	5.00	25.00	4.00	13.00	23.99
patho_DN104392_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	46.00	83.00	316.00	110.00	27.00	35.00	418.00	101.00	91.00	73.00	46.00	30.00	124.00	8.00	737.00	760.97	127.00	661.00	27.00	668.27	388.00	153.00	996.00	277.00	87.00	521.00	781.00	283.00	191.00	345.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34.00	12.00	0.00	3.00	81.00	21.61	1.00	4.00	60.00	35.00	186.00	118.00	2.00	15.00	140.00	178.00	299.00	74.00	253.00	244.00	85.00	3908.03	59.00	1011.65	550.00	277.00	19.00	110.00	473.52	849.00
patho_DN104399_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	15.00	61.00	16.00	7.00	5.00	96.00	28.00	21.00	21.17	20.00	5.00	25.00	0.00	150.00	124.00	41.00	116.00	10.00	92.00	50.00	21.00	165.08	53.69	17.00	76.00	137.00	42.00	14.00	65.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.00	1.00	0.00	2.00	21.00	9.00	0.00	1.00	15.00	7.00	36.00	17.00	0.00	7.00	21.00	22.00	40.00	9.00	44.00	36.00	26.00	762.00	5.00	267.00	72.00	49.00	2.00	19.00	88.00	162.00
patho_DN104460_c0_g2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	21.00	175.00	35.00	51.00	126.00	81.00	88.00	50.00	31.00	69.00	59.00	51.00	187.00	1.00	21.00	59.00	111.00	112.00	4.00	25.00	27.00	23.00	12.00	58.00	26.00	25.00	73.00	49.00	120.00	60.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	55.00	1.00	0.00	0.00	63.00	191.00	31.00	81.00	215.00	38.00	185.00	116.00	2.00	118.00	17.00	16.00	13.00	14.00	9.00	72.00	45.00	97.00	55.00	285.00	33.00	14.00	50.00	10.00	34.00	63.00
patho_DN104464_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	29.00	67.99	171.23	129.00	22.00	35.00	226.00	106.03	62.00	67.00	43.01	34.00	87.00	10.00	418.05	470.05	66.00	296.00	14.00	325.93	189.01	123.00	388.00	135.07	78.00	236.00	426.00	171.00	208.89	216.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	39.89	4.00	0.00	6.00	52.93	47.00	8.00	11.00	56.00	24.00	128.00	39.23	1.00	59.00	72.00	126.00	146.04	41.00	118.00	179.00	79.00	1754.00	42.08	652.94	269.00	158.00	21.00	67.00	292.00	473.40
