gene_id	R1_1	R2_1	R3_1	R4_1	R6_1	RG1_1	RG3_1	RG4_1	RG5_1	RG6_1	RY1_1	RY3_1	RY4_1	RY5_1	RY6_1	R1_2	R2_2	R4_2	R6_2	RG1_2	RG2_2	RG3_2	RG4_2	RG6_2	RY1_2	RY2_2	RY3_2	RY5_2	RY7_2	R1_3	R2_3	R3_3	R5_3	R6_3	R7_3	RG1_3	RG2_3	RG3_3	RG4_3	RG6_3	RY3_3	RY4_3	RY5_3	RY6_3	RY7_3	B2_1	B3_1	B4_1	B5_1	B6_1	BG1_1	BG2_1	BG3_1	BG4_1	BG5_1	BY1_1	BY2_1	BY3_1	BY4_1	BY5_1	B1_2	B2_2	B3_2	B4_2	B5_2	BG1_2	BG2_2	BG3_2	BG4_2	BG5_2	BY1_2	BY2_2	BY4_2	BY5_2	B1_3	B2_3	B3_3	B4_3	B5_3	BG1_3	BG2_3	BG3_3	BG5_3	BG6_3	BY1_3	BY2_3	BY3_3	BY4_3	BY5_3	BY6_3
patho_DN101948_c0_g2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	46.00	0.00	0.00	40.00	14.00	54.00	9.00	16.00	18.00	10.00	5.00	171.53	276.57	105.00	2.00	88.02	2.66	42.44	68.00	104.01	339.00	151.03	28.00	51.00	141.80	225.15	697.22	148.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.00	28.00	222.00	1.00	2.00	6.00	115.86	12.00	46.00	0.00	31.00	3.00	581.00	84.00	5.00	63.00	276.00	153.00	68.00	52.00	168.00	19.00	39.00	317.15	192.00	113.00	5.00	65.00	17.00	44.99
patho_DN101987_c0_g1	0.00	0.00	0.00	0.00	0.00	27.54	5.00	22.00	9.00	20.00	16.00	9.00	12.00	19.81	19.01	0.00	0.00	0.00	0.00	5.00	0.00	1.00	3.00	0.00	2.00	2.00	0.00	1.00	0.00	1.00	0.00	1.00	4.00	0.00	0.00	4.00	3.00	4.00	5.00	3.00	0.00	0.00	0.00	0.00	1.00	0.00	7.00	14.00	0.00	6.00	23.00	10.08	5.00	16.00	8.00	18.07	10.00	12.00	22.00	7.18	0.00	0.00	0.00	0.00	1.00	0.00	0.00	2.00	5.00	0.00	3.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	3.00	0.00	9.00	1.00	15.00	0.00	0.00	1.00	1.00	3.00	6.00
patho_DN102004_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.00	36.00	30.00	43.00	19.00	33.00	27.00	31.00	32.00	62.00	30.00	31.00	115.00	57.00	0.00	2.00	39.00	5.00	0.00	4.00	2.00	1.00	0.00	0.00	10.00	0.00	0.00	2.00	10.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	82.00	30.00	15.00	34.00	29.00	195.00	78.00	123.00	33.99	17.00	55.00	168.00	74.00	276.00	12.00	4.00	5.00	2.00	6.00	10.00	2.00	11.00	3.00	87.00	1.00	0.00	85.00	1.00	5.00	9.00
patho_DN102037_c0_g2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	13.00	51.00	20.00	2.00	8.00	43.00	30.00	7.00	20.00	2.00	6.00	17.00	8.00	101.00	185.00	13.00	54.00	2.00	152.00	49.00	40.00	144.00	45.00	27.22	85.00	100.00	86.00	76.00	76.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	1.00	0.00	0.00	21.00	6.00	0.00	0.00	3.00	6.00	11.00	4.00	0.00	5.00	34.00	49.00	37.00	10.00	39.00	48.00	15.00	260.00	12.00	121.00	88.00	44.00	1.00	27.00	78.00	158.00
patho_DN102053_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	2.00	29.00	19.00	4.00	4.00	17.00	4.00	4.00	4.00	6.00	7.00	4.00	2.00	158.00	120.00	5.00	127.00	4.00	105.00	30.00	45.06	87.00	26.00	38.00	136.00	54.00	101.00	103.00	98.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	1.00	0.00	0.00	7.00	0.00	0.00	0.00	3.00	1.00	5.00	7.00	0.00	0.00	24.00	24.00	39.00	16.00	30.00	26.00	5.00	224.00	3.00	78.00	62.00	58.00	2.00	35.00	105.00	182.00
patho_DN102056_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	84.00	60.00	36.00	94.00	71.00	34.00	46.00	24.00	21.00	86.00	40.00	59.00	148.00	14.00	59.00	46.00	51.00	315.00	3.00	29.00	60.00	43.00	88.00	93.29	62.00	55.01	66.00	34.00	97.79	37.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	84.00	4.00	1.00	3.00	124.00	56.00	10.00	8.00	73.00	38.00	98.00	57.00	0.00	68.03	15.00	35.00	50.00	61.00	40.00	91.00	64.00	147.00	54.00	268.00	97.00	44.00	24.00	9.00	19.00	60.00
patho_DN102134_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	6.00	4.00	3.00	9.00	9.00	6.00	7.00	5.00	8.00	13.00	2.00	6.00	0.00	10.00	8.00	14.00	11.00	6.00	4.00	19.00	7.00	35.00	5.00	21.00	0.00	15.00	12.00	10.00	30.00	5.00	44.00	4.00	8.00	0.00	3.00	14.00	16.00	9.00	19.00	19.00	17.00	20.00	34.00	15.00	12.00
patho_DN102159_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	9.00	56.00	31.00	8.00	5.00	70.00	22.00	9.00	14.00	6.00	6.00	40.00	1.00	99.00	90.00	18.00	83.00	6.00	101.00	89.00	40.00	101.00	38.00	40.00	113.00	133.00	32.00	49.00	101.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.00	1.00	0.00	1.00	17.00	4.00	0.00	2.00	12.00	6.00	27.00	5.00	0.00	7.00	33.00	33.00	38.00	6.00	28.00	57.00	17.00	562.00	9.00	343.00	79.00	49.00	6.00	12.00	108.00	189.00
patho_DN102230_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	16.00	5.00	0.00	1.00	10.00	2.00	4.00	6.00	0.00	2.00	2.00	2.00	40.00	45.00	5.00	33.00	3.00	24.00	41.00	22.00	34.00	14.00	10.00	49.00	21.00	20.00	38.00	40.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	6.00	5.00	1.00	0.00	0.00	12.00	11.00	20.00	3.00	4.00	2.96	5.00	97.00	2.00	46.00	20.00	23.00	0.00	12.00	38.00	49.00
patho_DN102230_c0_g2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	6.00	52.00	29.00	2.00	4.00	32.00	20.00	8.00	5.00	10.00	3.00	15.00	2.00	185.00	239.00	11.00	134.00	6.00	171.00	119.00	75.00	218.00	65.00	61.00	191.00	81.42	143.00	102.00	140.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	1.00	0.00	16.00	4.00	0.00	0.00	11.00	2.00	18.00	12.00	0.00	4.00	64.00	55.00	41.00	9.00	48.00	48.00	24.00	455.00	22.00	213.00	115.00	77.00	0.00	58.00	167.00	239.00
